차량 구분,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
승용차,US,1048.0,633.0,627.0,245.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,2023
휴양용 차량,US,33056.0,29697.0,31985.0,29103.0,28763.0,26013.0,27234.0,22619.0,20969.0,24759.0,33951.0,30920.0,2023
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2023
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
총합,US,34104.0,30330.0,32612.0,29348.0,28763.0,26013.0,27236.0,22619.0,20969.0,24763.0,33951.0,30925.0,2023
승용차,Canada,94.0,173.0,28.0,229.0,48.0,41.0,40.0,27.0,48.0,5.0,43.0,57.0,2023
휴양용 차량,Canada,5864.0,6644.0,5677.0,5587.0,5508.0,5018.0,5029.0,4164.0,4612.0,4547.0,6225.0,5272.0,2023
상업용 차량,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023
특수 차량,Canada,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2023
CKD(모듈형 조립 방식),Canada,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
총합,Canada,5958.0,6817.0,5705.0,5816.0,5556.0,5059.0,5069.0,4191.0,4660.0,4552.0,6268.0,5329.0,2023
승용차,Mexico,86.0,139.0,66.0,139.0,81.0,67.0,81.0,39.0,14.0,15.0,59.0,54.0,2023
휴양용 차량,Mexico,562.0,2352.0,2054.0,1903.0,1784.0,1552.0,1168.0,550.0,653.0,652.0,135.0,641.0,2023
상업용 차량,Mexico,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
특수 차량,Mexico,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023
CKD(모듈형 조립 방식),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,Mexico,648.0,2491.0,2120.0,2042.0,1865.0,1619.0,1249.0,589.0,667.0,667.0,194.0,695.0,2023
승용차,EU+EFTA,10216.0,12757.0,12724.0,10645.0,10709.0,6177.0,4059.0,2198.0,2440.0,3359.0,4704.0,4046.0,2023
휴양용 차량,EU+EFTA,16877.0,17006.0,20839.0,19225.0,20680.0,17405.0,19509.0,16418.0,16273.0,13995.0,21299.0,18794.0,2023
상업용 차량,EU+EFTA,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023
특수 차량,EU+EFTA,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2023
CKD(모듈형 조립 방식),EU+EFTA,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
총합,EU+EFTA,27093.0,29763.0,33563.0,29870.0,31389.0,23582.0,23568.0,18616.0,18713.0,17354.0,26003.0,22840.0,2023
승용차,E.Europe/CIS,1224.0,1207.0,1390.0,1500.0,1218.0,895.0,1381.0,1466.0,829.0,1603.0,1268.0,439.0,2023
휴양용 차량,E.Europe/CIS,2032.0,2222.0,2950.0,3320.0,3331.0,2935.0,2386.0,2398.0,2901.0,3055.0,4002.0,2596.0,2023
상업용 차량,E.Europe/CIS,158.0,117.0,157.0,259.0,226.0,149.0,469.0,214.0,566.0,537.0,77.0,300.0,2023
특수 차량,E.Europe/CIS,60.0,0.0,0.0,30.0,90.0,228.0,186.0,180.0,180.0,186.0,90.0,70.0,2023
CKD(모듈형 조립 방식),E.Europe/CIS,840.0,1320.0,880.0,1040.0,1120.0,800.0,840.0,1200.0,1000.0,840.0,480.0,640.0,2023
총합,E.Europe/CIS,4314.0,4866.0,5377.0,6149.0,5985.0,5007.0,5262.0,5458.0,5476.0,6221.0,5917.0,4045.0,2023
승용차,Latin America,1688.0,1859.0,2189.0,2016.0,2381.0,2272.0,2142.0,1898.0,2184.0,1688.0,1602.0,1539.0,2023
휴양용 차량,Latin America,1248.0,1298.0,2120.0,1859.0,1960.0,2156.0,2236.0,1660.0,1943.0,2162.0,3429.0,2743.0,2023
상업용 차량,Latin America,764.0,1048.0,995.0,874.0,1111.0,1193.0,1128.0,554.0,1377.0,1058.0,1259.0,1022.0,2023
특수 차량,Latin America,50.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0,0.0,13.0,2.0,2023
CKD(모듈형 조립 방식),Latin America,360.0,420.0,540.0,540.0,420.0,660.0,780.0,720.0,600.0,720.0,480.0,720.0,2023
총합,Latin America,4110.0,4625.0,5865.0,5289.0,5872.0,6282.0,6286.0,4832.0,6104.0,5628.0,6783.0,6026.0,2023
승용차,Middle East/Africa,4640.0,5516.0,6630.0,4975.0,4351.0,3659.0,2916.0,3204.0,2570.0,3037.0,3045.0,2769.0,2023
휴양용 차량,Middle East/Africa,3959.0,3563.0,3317.0,3817.0,4512.0,3752.0,2486.0,3449.0,1391.0,2298.0,2543.0,1811.0,2023
상업용 차량,Middle East/Africa,1733.0,1521.0,1553.0,1458.0,1137.0,940.0,2071.0,1327.0,1589.0,1342.0,1674.0,1884.0,2023
특수 차량,Middle East/Africa,1.0,4.0,5.0,100.0,110.0,50.0,0.0,0.0,4.0,0.0,52.0,4.0,2023
CKD(모듈형 조립 방식),Middle East/Africa,0.0,120.0,120.0,80.0,200.0,440.0,930.0,1040.0,1120.0,971.0,441.0,920.0,2023
총합,Middle East/Africa,10333.0,10724.0,11625.0,10430.0,10310.0,8841.0,8403.0,9020.0,6674.0,7648.0,7755.0,7388.0,2023
승용차,Asia / Pacific,2206.0,1781.0,2515.0,1869.0,2042.0,2144.0,1290.0,1424.0,1607.0,1504.0,1627.0,1724.0,2023
휴양용 차량,Asia / Pacific,6120.0,5117.0,7258.0,6037.0,6697.0,8711.0,7468.0,7819.0,6327.0,6287.0,7771.0,8213.0,2023
상업용 차량,Asia / Pacific,359.0,448.0,298.0,328.0,301.0,353.0,319.0,342.0,104.0,73.0,87.0,79.0,2023
특수 차량,Asia / Pacific,30.0,32.0,10.0,5.0,17.0,28.0,6.0,0.0,29.0,0.0,2.0,35.0,2023
CKD(모듈형 조립 방식),Asia / Pacific,3384.0,4184.0,3464.0,2536.0,2072.0,2456.0,1920.0,2760.0,2884.0,3324.0,2348.0,4136.0,2023
총합,Asia / Pacific,12099.0,11562.0,13545.0,10775.0,11129.0,13692.0,11003.0,12345.0,10951.0,11188.0,11835.0,14187.0,2023
승용차,China,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2023
휴양용 차량,China,0.0,0.0,0.0,0.0,0,129.0,96.0,63.0,1.0,0,6.0,0,2023
상업용 차량,China,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2023
특수 차량,China,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2023
CKD(모듈형 조립 방식),China,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2023
총합,China,0.0,0.0,0.0,0.0,0.0,129.0,96.0,63.0,1.0,0.0,6.0,0.0,2023
승용차,India,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2023
휴양용 차량,India,0.0,152.0,298.0,199.0,199.0,102.0,0,0,0,0,0,0,2023
상업용 차량,India,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2023
특수 차량,India,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),India,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2023
총합,India,0.0,152.0,298.0,199.0,199.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
승용차,US,-,-,"3,342","6,359","8,136","7,818","8,203","7,420","6,946","5,154","1,140","6,458",2024
휴양용 차량,US,"34,743","28,607","30,867","35,909","28,968","27,885","26,926","25,099","21,101","24,986","13,917","17,383",2024
상업용 차량,US,-,-,-,0,-,-,0,-,-,-,-,-,2024
특수 차량,US,0,-,-,0,-,-,0,-,-,-,-,-,2024
CKD(특수 차량 제외),US,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),US,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,US,34743,28607,"34,209","42,268","37,104","35,703","35,129","32,519","28,047","30,140","15,057","23,841",2024
승용차,Canada,48,36,30,-,82,48,39,-,-,-,-,-,2024
휴양용 차량,Canada,"5,192","3,698","4,013","5,821","6,095","5,465","6,515","4,505","3,429","4,400","4,112","6,702",2024
상업용 차량,Canada,-,-,-,0,-,-,0,-,-,-,-,-,2024
특수 차량,Canada,0,-,-,0,-,-,0,-,-,-,-,-,2024
CKD(특수 차량 제외),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Canada,5240,3734,4043,5821,6177,5513,6554,4505,3429,4400,4112,6702,2024
승용차,Mexico,1,-,-,-,-,-,-,-,-,-,-,-,2024
휴양용 차량,Mexico,969,647,812,637,806,211,620,389,505,490,501,"1,016",2024
상업용 차량,Mexico,-,-,-,0,-,-,0,-,-,-,-,-,2024
특수 차량,Mexico,0,-,-,0,-,-,0,-,-,-,-,-,2024
CKD(특수 차량 제외),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Mexico,970,647,812,637,806,211,620,389,505,490,501,"1,016",2024
승용차,EU+EFTA,"7,790","6,255","6,223","4,885","7,154","6,600","6,277","4,837","5,139","7,238","5,108","2,660",2024
휴양용 차량,EU+EFTA,"18,950","13,854","17,293","14,746","14,543","14,391","12,634","12,535","16,699","19,915","19,829","16,206",2024
상업용 차량,EU+EFTA,-,-,-,0,-,-,-,-,-,-,-,-,2024
특수 차량,EU+EFTA,0,3,-,0,14,-,1,-,-,-,-,10,2024
CKD(특수 차량 제외),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,EU+EFTA,"26,740","20,112","23,516","19,631","21,711","20,991","18,912","17,372","21,838","27,153","24,937","18,876",2024
승용차,E.Europe/CIS,"1,151",434,615,295,476,391,219,102,254,112,144,63,2024
휴양용 차량,E.Europe/CIS,"2,662","2,822","3,194","2,880","3,337","2,499",639,474,895,"1,728","1,318","3,093",2024
상업용 차량,E.Europe/CIS,"1,178",861,"1,197",403,90,56,10,-,5,3,114,46,2024
특수 차량,E.Europe/CIS,10,-,25,-,-,-,-,100,100,-,20,-,2024
CKD(특수 차량 제외),E.Europe/CIS,"1,420","1,420",780,"1,340","2,160","1,800","2,760","2,620","2,380","2,980","2,520","2,280",2024
CKD(특수 차량),E.Europe/CIS,0,0,0,0,0,2,2,0,0,0,2,0,2024
총합,E.Europe/CIS,"6,421",5537,5811,4918,6063,4748,3630,3296,3634,4823,4118,5482,2024
승용차,Latin America,574,753,"1,135","1,717","1,304","1,285","1,590","1,518","1,111","1,925","2,058","2,943",2024
휴양용 차량,Latin America,"2,385","1,665","1,950","2,274","2,391","2,560","2,222","2,495","1,532","1,952","2,876","5,013",2024
상업용 차량,Latin America,"1,144",735,"1,336",915,"1,255","1,038","1,125","1,129",957,940,"1,019","1,044",2024
특수 차량,Latin America,1,1,-,-,-,-,2,4,-,-,-,-,2024
CKD(특수 차량 제외),Latin America,480,300,240,300,480,300,420,660,540,720,240,720,2024
CKD(특수 차량),Latin America,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Latin America,"4,584","3,454","4,661","5,206","5,430","5,183","5,359","5,806","4,140","5,537","6,193","9,720",2024
승용차,Middle East/Africa,"1,814","2,347","2,017","4,217","3,662","3,318","3,099","2,071","1,219","1,918","2,981","4,674",2024
휴양용 차량,Middle East/Africa,"3,411","2,915","4,083","2,447","2,775","2,967","3,530","2,563","3,585","4,464","3,039","7,596",2024
