차종,차량 구분,거래 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
 Morning,일반 차량,국내,1813.0,2049.0,2127.0,2164.0,2502.0,2245.0,2033.0,2910.0,1892.0,2225.0,2111.0,1808.0,2023
 Ray,일반 차량,국내,3585.0,4268.0,4155.0,4158.0,4576.0,4372.0,4285.0,4402.0,3464.0,4824.0,4587.0,4254.0,2023
 K3,일반 차량,국내,950.0,1024.0,1197.0,670.0,975.0,1540.0,976.0,1123.0,1036.0,939.0,1428.0,1346.0,2023
 K5,일반 차량,국내,2560.0,2653.0,3421.0,2739.0,3166.0,2963.0,2246.0,2613.0,2280.0,2592.0,3783.0,3563.0,2023
 Stinger,일반 차량,국내,113.0,120.0,143.0,61.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
 K7 / K8,일반 차량,국내,3451.0,4168.0,4569.0,4011.0,4487.0,4469.0,3513.0,2457.0,2406.0,2248.0,2799.0,1859.0,2023
 K9,일반 차량,국내,431.0,301.0,432.0,422.0,310.0,366.0,372.0,347.0,232.0,226.0,236.0,223.0,2023
 Seltos,일반 차량,국내,3366.0,5552.0,3891.0,4119.0,4792.0,5224.0,4770.0,3512.0,4399.0,3008.0,4446.0,3758.0,2023
 Niro,일반 차량,국내,1269.0,1588.0,2219.0,2120.0,1990.0,1992.0,1614.0,1694.0,1681.0,1595.0,1541.0,1256.0,2023
 Niro Plus,일반 차량,국내,0.0,292.0,460.0,475.0,462.0,298.0,303.0,115.0,103.0,218.0,120.0,70.0,2023
 EV6,일반 차량,국내,0.0,1951.0,3009.0,2694.0,1894.0,1379.0,1398.0,948.0,601.0,1564.0,1096.0,693.0,2023
 Sportage,일반 차량,국내,5492.0,5689.0,6018.0,6282.0,6185.0,6418.0,6625.0,5210.0,5402.0,4707.0,5982.0,5739.0,2023
 Sorento,일반 차량,국내,4611.0,4745.0,6890.0,6835.0,6499.0,6978.0,5678.0,7176.0,10190.0,8777.0,9364.0,8068.0,2023
 Mohave,일반 차량,국내,482.0,504.0,710.0,483.0,318.0,510.0,459.0,379.0,317.0,293.0,313.0,252.0,2023
 EV9,일반 차량,국내,0.0,0.0,0.0,0.0,0,1334.0,1251.0,408.0,1163.0,833.0,375.0,2688.0,2023
 Carnival,일반 차량,국내,6904.0,6039.0,6873.0,6481.0,6695.0,6358.0,6109.0,4937.0,4366.0,3933.0,5857.0,5305.0,2023
 Bongo,일반 차량,국내,3580.0,8977.0,6806.0,5258.0,5269.0,4435.0,5665.0,3892.0,4480.0,4887.0,5855.0,3815.0,2023
 Bus,일반 차량,국내,71.0,96.0,126.0,114.0,110.0,120.0,127.0,102.0,111.0,91.0,129.0,106.0,2023
 Millitary,특수 차량,국내,75.0,89.0,112.0,228.0,89.0,136.0,83.0,109.0,287.0,294.0,300.0,364.0,2023
 Bongo,특수 차량,국내,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
 Bus,특수 차량,국내,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
 Morning / Picanto,일반 차량,수출,11149.0,13902.0,14822.0,12906.0,13604.0,12442.0,8568.0,6352.0,6053.0,6589.0,7520.0,7756.0,2023
 Pride / Rio,일반 차량,수출,5243.0,5451.0,6127.0,5022.0,4514.0,427.0,0,0,0,0,0,0,2023
 K3,일반 차량,수출,1410.0,1619.0,2259.0,1453.0,1097.0,1039.0,1315.0,1570.0,2149.0,1787.0,3528.0,2200.0,2023
 K5 / Optima,일반 차량,수출,1526.0,1710.0,1407.0,1195.0,1366.0,1135.0,1797.0,2168.0,1433.0,2780.0,1158.0,492.0,2023
 Stinger,일반 차량,수출,1618.0,1192.0,1219.0,933.0,56.0,12.0,0,0,0,6.0,0,0,2023
 K7 / K8 / Cadenza,일반 차량,수출,220.0,191.0,311.0,108.0,193.0,164.0,195.0,131.0,55.0,53.0,141.0,184.0,2023
 K9,일반 차량,수출,36.0,0.0,24.0,1.0,0,36.0,36.0,35.0,2.0,0,1.0,1.0,2023
 Stonic,일반 차량,수출,7499.0,7685.0,8760.0,8186.0,7766.0,3285.0,5031.0,7021.0,6344.0,8070.0,9052.0,7883.0,2023
 Seltos,일반 차량,수출,11408.0,9238.0,11414.0,10348.0,9390.0,9030.0,9444.0,8691.0,8332.0,8786.0,10674.0,10338.0,2023
 Soul,일반 차량,수출,7826.0,6637.0,6533.0,6596.0,6898.0,6394.0,5469.0,4075.0,4330.0,4089.0,4767.0,4921.0,2023
 Niro,일반 차량,수출,10557.0,11993.0,12919.0,11563.0,12937.0,12825.0,11997.0,9315.0,9541.0,9307.0,13793.0,11824.0,2023
 Niro Plus,일반 차량,수출,841.0,818.0,762.0,464.0,822.0,846.0,384.0,693.0,586.0,783.0,0,47.0,2023
 EV5,일반 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
 EV6,일반 차량,수출,6919.0,6873.0,8063.0,6727.0,7777.0,7838.0,7647.0,5968.0,3706.0,4291.0,7012.0,6044.0,2023
 Sportage,일반 차량,수출,10929.0,11825.0,13444.0,11661.0,10756.0,10845.0,11815.0,10257.0,10531.0,10134.0,12159.0,11934.0,2023
 Sorento,일반 차량,수출,7368.0,7605.0,8434.0,8180.0,8215.0,9114.0,8826.0,4995.0,1926.0,2488.0,8416.0,6335.0,2023
 Mohave / Borrego,일반 차량,수출,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,2023
 EV9,일반 차량,수출,0.0,0.0,7.0,19.0,11.0,3.0,30.0,2254.0,4852.0,3957.0,8081.0,7884.0,2023
 New Carens,일반 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
 Carnival / Sedona,일반 차량,수출,6371.0,5376.0,6162.0,7306.0,8862.0,7593.0,6969.0,5871.0,4724.0,5850.0,5407.0,3780.0,2023
 Bongo,일반 차량,수출,3014.0,3134.0,3003.0,2919.0,2775.0,2635.0,3987.0,2437.0,3636.0,3010.0,3097.0,3285.0,2023
